,Name,Venue ID,Lat,Lng,Category,Near Same Kind,Near Coffee Shops
33,Book Off,4ca6503c14c337049467be3b,40.75641128441061,-73.9815928976681,Bookstore,True,True
34,Teich Toys & Books,538b7803498e379b2c8dda5e,40.73604489911531,-74.00590076033924,Toy / Game Store,True,True
35,Strand Book Store Kiosk,5775a40d498ecedd906d105e,40.75749546751178,-73.98584196462518,Bookstore,False,False
36,Midtown Comics,4addfb00f964a5200a6721e3,40.753401041074376,-73.97453011806338,Comic Shop,True,True
37,SoHo News International,4b945207f964a520877434e3,40.726476257104366,-74.00229836834897,Newsstand,False,True
38,Mysterious Time Machine,4b4e4313f964a52046e726e3,40.73397834390988,-73.99905681610107,Comic Shop,True,True
39,East Village Books,3fd66200f964a520afe81ee3,40.72737410986738,-73.98466961720919,Used Bookstore,True,True
40,MoMA Design Store,4a7464baf964a52002de1fe3,40.76126990221654,-73.97773719594208,Gift Shop,False,False
41,Mulberry Iconic Magazines,5378e84a498ecc717198715b,40.72114011227856,-73.99654874369917,Newsstand,True,True
42,Spoonbill & Sugartown Books,49d01cfaf964a520005b1fe3,40.716560817835266,-73.9591239553147,Bookstore,True,True
43,Aperture Foundation: Bookstore and Gallery,4a108f57f964a520e0761fe3,40.751236482412665,-74.00448622459896,Art Gallery,True,True
44,Housing Works Bookstore Cafe,3fd66200f964a52020e61ee3,40.72463779438282,-73.99654971050707,Café,True,True
45,J. Levine Co. Books & Judaica,4c1163e2416620a14304d9e4,40.746208227919034,-73.98709415798983,Miscellaneous Shop,True,True
46,Exit 9 Gift Emporium,4a74ab8ef964a52021df1fe3,40.72392691626546,-73.98523696178921,Gift Shop,True,False
47,Powerhouse Arena,45c5a7c9f964a52050421fe3,40.703055237220774,-73.99065016685256,Bookstore,True,True
48,Mercer Street Books,3fd66200f964a52021e61ee3,40.726664972831166,-73.99673600533703,Bookstore,True,True
49,Little City Books,554e4169498e91aefed48a88,40.73765268157087,-74.03182030340115,Bookstore,False,False
50,Barnes & Noble,4a04ba93f964a52023721fe3,40.715605333147145,-74.01178633208771,Bookstore,True,True
51,The Mysterious Bookshop,4b6469d3f964a52037b12ae3,40.71490950153982,-74.00948027011903,Bookstore,True,True
52,Penn Books,4b4cf482f964a52068c526e3,40.75086114436366,-73.99011073520991,Bookstore,True,True
53,Amazon Books,59263aa4e96d0c2ca5d159f4,40.76825298454717,-73.98175882825682,Bookstore,True,True
54,J'Adore Clic,4baa8f51f964a5209f743ae3,40.72091263018954,-73.99770172244189,Bookstore,True,True
55,Archestratus Books & Foods,55d7c6bb498efa168c9483a9,40.732905,-73.955365,Restaurant,True,True
56,Monocle Shop,4c6de06d4d24b60c845cd7d8,40.73459826390914,-74.00614400716128,Gift Shop,True,True
57,Argosy Book Store,4dd291a87d8b4c6585eec10d,40.762541225064886,-73.96892935704525,Bookstore,False,True
58,McNally Jackson Books,5a6e3a194f0e585cdd3a83a7,40.717649693953405,-73.96207782609444,Bookstore,True,True
59,Library Shop @ NYPL,4ec2bb6177c887a3c7a35523,40.75295630049725,-73.98144857615476,Bookstore,True,True
60,Bureau of General Services - Queer Division,51008858e4b0af418cc6fbeb,40.716110934815916,-73.99155850614528,Bookstore,False,True
61,Poets House,4acb88acf964a52024c420e3,40.716008307822825,-74.01642702902087,College Bookstore,False,False
62,United Nations Gift Centre,4b7068cdf964a520a3182de3,40.75061906375329,-73.96739113513392,Gift Shop,True,False
63,St. Mark's Comics,40d38200f964a52044011fe3,40.72926753062597,-73.98916992045619,Comic Shop,True,True
64,Powerhouse Books,57c988c9498e98eee7aee514,40.70321876422161,-73.98876163781674,Bookstore,True,True
65,Strand Book Store Stand,4c1bcd75eac020a1707845c2,40.76516905298174,-73.9725220634508,Bookstore,True,True
66,Shakespeare & Co,4b4ca7e7f964a52029b926e3,40.76824324874706,-73.96374543580556,Bookstore,True,False
67,Clic Gallery + Bookstore,4b93e8e1f964a5201c5934e3,40.720741,-73.997917,Art Gallery,True,True
68,United Nations Bookshop,4cdc3a9d22bd721ede06fa47,40.750634497538975,-73.9673451754693,Bookstore,True,False
69,Singularity&Co,4fcb755fe4b0d9a5f0444c54,40.70420324875922,-73.98474500254773,Bookstore,True,True
70,Quest Bookshop,4b95852ef964a5203fa734e3,40.75708455810805,-73.96798065495834,Bookstore,True,True
71,"Rodale, Inc.",42b9fb80f964a5209b251fe3,40.75290981001545,-73.97274853973425,Office,True,True
72,Book Culture,5a2c4b48345cbe4a6a0a4a23,40.747451074575785,-73.94204799529219,Bookstore,False,True
73,Unoppressive Non-Imperialist Bargain Books,4a4aaf5ef964a52019ac1fe3,40.729988550185084,-74.00308817625044,Bookstore,True,True
74,Midtown Comics,4cdac798d6656a315f36fc3e,40.70898879107499,-74.00521767919707,Comic Shop,True,False
75,Barnes & Noble,4b97c460f964a5204b1435e3,40.71191433121694,-74.00614464477995,Bookstore,True,False
76,McNally Jackson Store: Goods For The Study,518bb89a5019390b628c31fc,40.722694313325015,-73.99598697945778,Paper / Office Supplies Store,True,True
77,Artbook at MoMA PS1,4b50c742f964a520113227e3,40.74563696270734,-73.94760424677811,Gift Shop,True,False
78,Codex,5a5d2c511987ec08f0bb4f14,40.725324488777275,-73.99254945693504,Bookstore,True,True
79,Melville House,4ab17a19f964a520a16920e3,40.70436119665168,-73.98618232144493,Bookstore,True,True
80,Berl's Brooklyn Poetry Shop,523df607498ef5ec13df790d,40.70240661239664,-73.98727824857026,Bookstore,True,True
81,Desert Island,49d0381bf964a520135b1fe3,40.714098500640844,-73.95095499708648,Comic Shop,True,False
82,Revolution Books,4b4a359cf964a520c57e26e3,40.7455962946289,-73.99334714306487,Bookstore,True,True
83,Book Thug Nation,4b00723ff964a520533e22e3,40.7166369588935,-73.96185301911026,Bookstore,True,True
84,Oriental Culture Enterprises (Eastern Bookstore),4c2e5a99ed37a593886e6503,40.715994270881644,-73.99735313253424,Bookstore,True,False
85,The Juilliard Store,4bded6886198c9b6570015ff,40.77435341151559,-73.98295742545906,College Bookstore,False,True
86,Bauman Rare Books,4ba7fb8cf964a52010c439e3,40.76070189480013,-73.97358498600568,Bookstore,False,True
87,Posman Books,4ec5517ff790c16e52574d21,40.75911098718499,-73.97943146623847,Bookstore,False,True
88,Quimby's,584c4bb70319b8761c26522a,40.71407384774388,-73.9509195335572,Bookstore,True,False
89,Magazine Cafe,4bb3ae802397b713f27838b3,40.750931551346966,-73.98441183336865,Bookstore,True,True
90,Karma,4de038247d8b84d5dc672f20,40.72953974230595,-74.00309431375567,Bookstore,True,True
91,Symposia Community Book Store,4b7f4011f964a5205f2230e3,40.742582692129005,-74.02939078496166,Bookstore,False,False
92,Greenlight Bookstore,4ad937aef964a520281921e3,40.68635635950454,-73.97456031947704,Bookstore,False,False
93,The Corner Bookstore,4a6c7db4f964a520a1d01fe3,40.78514664786137,-73.95568392224033,Bookstore,False,False
94,The Bean,4e56634545dd92275e4c30d9,40.73317755885807,-73.99116039276123,Coffee Shop,True,True
95,MoMA Design Store,49dcd4b4f964a520ad5f1fe3,40.72273658211859,-73.99795434756109,Gift Shop,True,True
96,Theatre Circle,4bca3d900687ef3beda5dbcc,40.75846436807437,-73.98864987420832,Gift Shop,True,True
97,Union Square Magazine Shop,4b6870c7f964a520cb782be3,40.73658582491815,-73.98901426465709,Bookstore,True,True
98,Popfuzz,4bd355d6a8b3a59387ba695f,40.7202266397853,-73.9596497914894,Toy / Game Store,False,True
99,Community Bookstore,3fd66200f964a52076eb1ee3,40.67277795840776,-73.97663364033278,Bookstore,False,False
100,NYU Bookstore,4bfe8d858992a593deadadb0,40.729448967443304,-73.99349667609039,College Bookstore,False,True
101,Black Dome Press,58c68a605e78962f9283a35c,40.74241242338377,-73.99220108985901,Bookstore,True,True
102,Bank Street Bookstore,4b5caf22f964a520483e29e3,40.80542206898943,-73.96591263261523,Bookstore,False,False
103,Saint-Petersburg Store,51d8561d498ebf3e1692cc71,40.74514958958008,-73.9872469860291,Gift Shop,True,True
104,Barnes & Noble at FIT,4d87bd56529f8eeca7e48970,40.74759226174873,-73.99591438299133,College Bookstore,True,True
105,Fashion Design Books,3fd66200f964a520abe31ee3,40.74767969976271,-73.9960967407014,College Bookstore,True,False
